,AChristmasCarolinProse,AliceinWonderland,APicklefortheKnowingOnes,Frankenstein,Gulliver's_Travels,HeartofDarkness,lifeonthemississippi,Pygmalion,TheArtofWar,TheTimeMachine
AChristmasCarolinProse,0.9999999999999999,0.18247402623922251,0.13937218873565238,0.2747377576469395,0.28966217901117697,0.30811397731078194,0.3178500827014417,0.07816852484327405,0.0912236150911834,0.28932018481061583
AliceinWonderland,0.18247402623922251,1.000000000000001,0.10158976564665619,0.1969330136292174,0.2357897513943445,0.2791481666503073,0.27398509084654704,0.0697944412180335,0.08122818406340587,0.2503602565111891
APicklefortheKnowingOnes,0.13937218873565238,0.10158976564665619,0.9999999999999993,0.23239120251282536,0.278239841565238,0.2445629670852662,0.2993047663515444,0.07192027209319973,0.11403890911370089,0.20722716114563572
Frankenstein,0.2747377576469395,0.1969330136292174,0.23239120251282536,0.9999999999999997,0.5673347296520637,0.4767000271583778,0.5228184547601115,0.1204272395871586,0.19869982902792832,0.47131242424117525
Gulliver's_Travels,0.28966217901117697,0.2357897513943445,0.278239841565238,0.5673347296520637,1.0000000000000002,0.5139038000794848,0.6070610694288406,0.1323843793671167,0.23525357963729024,0.5015830473335849
HeartofDarkness,0.30811397731078194,0.2791481666503073,0.2445629670852662,0.4767000271583778,0.5139038000794848,1.0000000000000002,0.6116349187209956,0.14534828524345322,0.1835469250268602,0.5414840359084101
lifeonthemississippi,0.3178500827014417,0.27398509084654704,0.2993047663515444,0.5228184547601115,0.6070610694288406,0.6116349187209956,1.0000000000000002,0.1527091797140796,0.22791601508019085,0.5373022763462908
Pygmalion,0.07816852484327405,0.0697944412180335,0.07192027209319973,0.1204272395871586,0.1323843793671167,0.14534828524345322,0.1527091797140796,0.9999999999999981,0.04992259409489419,0.11409862841592347
TheArtofWar,0.0912236150911834,0.08122818406340587,0.11403890911370089,0.19869982902792832,0.23525357963729024,0.1835469250268602,0.22791601508019085,0.04992259409489419,0.9999999999999981,0.1693325329095337
TheTimeMachine,0.28932018481061583,0.2503602565111891,0.20722716114563572,0.47131242424117525,0.5015830473335849,0.5414840359084101,0.5373022763462908,0.11409862841592347,0.1693325329095337,0.9999999999999986
